,place_id,name,business_status,formatted_address,price_level,rating,types
264,ChIJF1HC8CQvdTERH2DWgJBTwRA,FamilyMart Cach Mang Thang 8,OPERATIONAL,"199 Đ. Cách Mạng Tháng 8, Phường 4, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,2.1,"['convenience_store', 'store', 'food', 'point_of_interest', 'establishment']"
266,ChIJxzNCg8sudTERpRIqgCVtBJc,Mỹ phẩm HERA,OPERATIONAL,"1042 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['store', 'point_of_interest', 'establishment']"
267,ChIJ9XO02L0vdTERBYjwHutFJY8,Hàng Tiêu Dùng Mekoong,OPERATIONAL,"439 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['store', 'food', 'point_of_interest', 'establishment']"
268,ChIJG3P6e9EudTERUAE7d5M_zms,Vinamilk - Giấc Mơ Sữa Việt,OPERATIONAL,"617A Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,3.5,"['store', 'food', 'point_of_interest', 'establishment']"
269,ChIJjz21IjwvdTERm-cOSOLFMig,Thế Giới Nước Hoa - 6 CMT8,OPERATIONAL,"6 Đ. Cách Mạng Tháng 8, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",,3.9,"['clothing_store', 'store', 'point_of_interest', 'establishment']"
271,ChIJfaQnEYMvdTER0tDOrY1La5o,Shop DanGun,OPERATIONAL,"DanGun, 922/48 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['store', 'point_of_interest', 'establishment']"
281,ChIJZR7ZncwudTERapXucWMgxXM,Hong Thanh Shoes Shop,OPERATIONAL,"939 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.1,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
283,ChIJjwU-WM4udTERIlA8gbzUQVg,Change,OPERATIONAL,"1062 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,3.5,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
284,ChIJUZ8IV2gvdTERGKwuKWrkoiU,Ruby Store (Giày Sneaker),OPERATIONAL,"436/37 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,4.9,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
285,ChIJpfHQr9cudTERP-rtRxJDS6w,Shop Giày Da Màu,OPERATIONAL,"356 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.7,"['shoe_store', 'store', 'point_of_interest', 'establishment']"
