,place_id,name,business_status,formatted_address,price_level,rating,types
617,ChIJcx5VAM0udTERc5DR7Zvl_Zo,Cửa Hàng Trang Sức PNJ 132 CMT8,OPERATIONAL,"132 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.4,"['jewelry_store', 'point_of_interest', 'store', 'establishment']"
619,ChIJLzZr_8wudTER8VsKNjMAiAA,Bảo Tín K&K,OPERATIONAL,"865 – 867 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.3,"['jewelry_store', 'finance', 'point_of_interest', 'store', 'establishment']"
620,ChIJ5we94MwudTERwqWDeYjaekQ,Shop Jewelry T & L,OPERATIONAL,"793 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.8,"['jewelry_store', 'point_of_interest', 'store', 'establishment']"
621,ChIJGWTry9YudTERRFs6ZhxOwuk,Tiệm Vàng Kim Nhân,OPERATIONAL,"551 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.7,"['jewelry_store', 'point_of_interest', 'store', 'establishment']"
623,ChIJ0YHnEtIudTERgAnGeE5ZK_I,Bookstore Daruma,OPERATIONAL,"590 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.8,"['book_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
631,ChIJy_ozbxArdTERZr-7wvy_ukc,Hàng Úc Xách Tay - Xuất Xứ Úc,OPERATIONAL,"595/5A Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['store', 'point_of_interest', 'establishment']"
636,ChIJnzgvJ3gpdTERJO1eP2Asia8,Lata - 690 Cách Mạng Tháng 8,OPERATIONAL,"690 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,4.0,"['store', 'point_of_interest', 'establishment']"
641,ChIJsfIkUDsvdTERW6B0vIg4dgo,Pet Mart CMT8 - Cửa Hàng Thú Cưng,OPERATIONAL,"892 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh 736073, Vietnam",,2.3,"['pharmacy', 'pet_store', 'veterinary_care', 'health', 'store', 'food', 'point_of_interest', 'establishment']"
675,ChIJiQFxb98udTER3QcdmS30U7U,Bệnh Viện Thẩm Mỹ Kangnam Hàn Quốc,OPERATIONAL,"666 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['beauty_salon', 'doctor', 'health', 'point_of_interest', 'establishment']"
713,ChIJiWMc6ScvdTERRhb-S97ZMrc,Lan Anh Sports Club,OPERATIONAL,"291 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.2,"['gym', 'health', 'restaurant', 'point_of_interest', 'food', 'establishment']"
724,ChIJndF8hp0vdTEREw_onMEwc-Q,Shop Mẹ Và Bé - shopmevabe.com.vn,OPERATIONAL,"947/4/1 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,5.0,"['shopping_mall', 'point_of_interest', 'establishment']"
725,ChIJxe-p0soudTERzh88W1awh5E,Xách Tay Hoàng Gia - AppleMall.vn,OPERATIONAL,"1085 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,4.6,"['shopping_mall', 'point_of_interest', 'establishment']"
726,ChIJ8QQp2w4pdTERn-getO7oBe0,Mẹ và bé Mart,OPERATIONAL,"947/4 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh 710000, Vietnam",,0.0,"['shopping_mall', 'point_of_interest', 'establishment']"
728,ChIJ93M6gNEudTERvmSE_ZfRmbI,4MEN 798 Cach Mang Thang Tam,OPERATIONAL,"798 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.2,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
729,ChIJoQzOJygvdTER23nsC-BFKBw,ANNA clothing,OPERATIONAL,"292/26 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.9,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
730,ChIJDdty4NcudTERtvF9gjr2PHY,Fmstyle SaiGon,OPERATIONAL,"286 Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
731,ChIJbcFzrmkvdTERbLougp2osOY,CHAMCOS,OPERATIONAL,"595/020, Lô 96 Đ. Cách Mạng Tháng 8, Phường 15, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['point_of_interest', 'store', 'establishment']"
735,ChIJBQnCsyQvdTER9riWbkG5vos,Shop quần áo Nam và phụ kiện Fami Q3,OPERATIONAL,"165 Đ. Cách Mạng Tháng 8, Phường 5, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.2,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
738,ChIJKeonOc8vdTERW8CVUG8SrQk,Hasaki Beauty,OPERATIONAL,"723 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['point_of_interest', 'store', 'establishment']"
741,ChIJB9O3FyYvdTER_dqe06oCS7Y,Shop Thời Trang Nam Owen,OPERATIONAL,"130C Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.5,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
742,ChIJBR2jDc8vdTERXdWocWND4PU,Lep',OPERATIONAL,"200A Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam",,4.0,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
745,ChIJPcDgMY0vdTERj2L7O9n1FzU,PEAK Sport Tân Bình - 1000 CMT8,OPERATIONAL,"1000 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,4.9,"['point_of_interest', 'store', 'establishment']"
747,ChIJT1Ds_8wudTERXdTgTPWCuBU,Đại lý Việt Tiến Quận Tân Bình TpHCM,OPERATIONAL,"818 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,4.7,"['clothing_store', 'point_of_interest', 'store', 'establishment']"
748,ChIJn83IE1ModTER_XoEbBkg0Ec,Hệ Thống Cửa Hàng Mẹ và Bé Bibo Mart - Thế Giới Đồ Sơ Sinh,OPERATIONAL,"412C Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.8,"['clothing_store', 'furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
751,ChIJ2TGe0OQvdTERJ53KjyoP7B0,Orita,OPERATIONAL,"27 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,3.0,"['store', 'point_of_interest', 'establishment']"
766,ChIJ55txODUpdTERt9Cri7Pvggc,Phòng Tập Gym & Yoga S'Life CMT8,OPERATIONAL,"686/20 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,4.4,"['gym', 'health', 'point_of_interest', 'establishment']"
768,ChIJkQIASjsvdTERcjvbhDN_SQw,California Fitness & Yoga District 3,OPERATIONAL,"Toà nhà Lim Tower II, 62A Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,3.8,"['gym', 'health', 'point_of_interest', 'establishment']"
770,ChIJny3dpWQvdTERrX_ZmqpWG2s,Top Pilates,OPERATIONAL,"Tầng 2 và 3, Ziuka Tower, 85 Đ. Cách Mạng Tháng 8, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['gym', 'health', 'point_of_interest', 'establishment']"
771,ChIJo1mAi7IvdTER3ARkut9xaZA,FIT LIFE Private Gym,OPERATIONAL,"463B/62 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['gym', 'health', 'point_of_interest', 'establishment']"
773,ChIJI3STpxAvdTER3123WVA3Y34,YATA YOGA - Yoga And Trainer Academy,OPERATIONAL,"590/13 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,4.7,"['gym', 'health', 'point_of_interest', 'establishment']"
775,ChIJmYuOFjQvdTERozcuenIRZoU,The Shadow Dance Studio,OPERATIONAL,"766/83/19 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['gym', 'health', 'point_of_interest', 'establishment']"
776,ChIJ34KWq68vdTERxexodaZ-n_U,Sweat Home Fitness & Yoga Studio,OPERATIONAL,"540/11 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['gym', 'health', 'point_of_interest', 'establishment']"
788,ChIJ70b3scQudTERnhYcveszp0s,Shine Yoga,OPERATIONAL,"126 Cách Mạng Tháng 8, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam",,5.0,"['gym', 'health', 'point_of_interest', 'establishment']"
813,ChIJZzbAAl0vdTERgVOrasVlwXQ,RI-O Nail&More | Làm Nail Quận 1 | Chà gót chân | Gội Đầu Dưỡng Sinh Quận 1,OPERATIONAL,"49 Đ. Cách Mạng Tháng 8, Phường Phạm Ngũ Lão, Quận 1, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['beauty_salon', 'point_of_interest', 'establishment']"
819,ChIJ3bPdJkwvdTERfTJh36l9MtQ,Phun Xăm Điêu Khắc Chân Mày Phong Thuỷ | Master Nyna Hà Thanh,OPERATIONAL,"472/16 Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 100000, Vietnam",,5.0,"['beauty_salon', 'point_of_interest', 'establishment']"
827,ChIJNR1GTmEvdTERJBIheiAqXPY,Việt Nam Med,OPERATIONAL,"590 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam",,0.0,"['spa', 'health', 'point_of_interest', 'establishment']"
828,ChIJ9dGwLjUpdTERCaDAC4-X0hU,Cửa hàng dụng cụ y khoa thẩm mỹ Tuấn Kiệt,OPERATIONAL,"1172 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.5,"['store', 'point_of_interest', 'establishment']"
829,ChIJ55_kkF8pdTER2iDjUPt_qZE,Dụng Cụ Y Khoa Và Thẩm Mỹ An Khang,OPERATIONAL,"1234 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,4.5,"['store', 'point_of_interest', 'establishment']"
831,ChIJj4nTDCgvdTERYE3cGUxdAP8,Akey Shop,OPERATIONAL,"333 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.3,"['store', 'point_of_interest', 'establishment']"
833,ChIJJT6xy9YudTERkOwC2h5Q6Dg,SHOP Vali - Balo - Bags Van Phuc,OPERATIONAL,"1158 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,4.5,"['point_of_interest', 'store', 'establishment']"
834,ChIJP8tNSkwvdTERL3CIZ-Nzyrg,Kính Mắt Việt Nam - VinaOptic 199A Cách Mạng Tháng 8,OPERATIONAL,"199A Đ. Cách Mạng Tháng 8, Phường 4, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['point_of_interest', 'store', 'establishment']"
836,ChIJe2Wymu0ndTERfkB1GTF9kPc,Khẩu Trang N99 - Khẩu Trang Cao Cấp,OPERATIONAL,"595/5 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['point_of_interest', 'store', 'establishment']"
837,ChIJ1-9EVCQvdTERVMLv-Eq8x5g,Kính Nhật - Japan Optical,OPERATIONAL,"96 Đ. Cách Mạng Tháng 8, Võ Thị Sáu, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.4,"['health', 'point_of_interest', 'store', 'establishment']"
839,ChIJCU3Yr9cudTERRJkElp-yYQ0,APPLE Dental Clinic,OPERATIONAL,"475 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.6,"['health', 'point_of_interest', 'establishment']"
846,ChIJ8Zn1AtcudTERTxzUFUHbkO0,Tiktak Cafe,OPERATIONAL,"503 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.2,"['cafe', 'point_of_interest', 'food', 'store', 'establishment']"
849,ChIJ-1CFqEcvdTERsWoTm_RD6HI,Vải Hương,OPERATIONAL,"1090 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,5.0,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
855,ChIJGVtakaAvdTERt9MW5hPNUbg,Tiệm sửa xe SINH,OPERATIONAL,"49 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['car_repair', 'point_of_interest', 'establishment']"
856,ChIJH7fJDbUvdTERHP4PvkLqgyY,Sửa xe máy.cứu hộ xe máy,OPERATIONAL,"874 Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['car_repair', 'point_of_interest', 'establishment']"
857,ChIJdXIq8swudTERHUFtbKzLkAk,Lốp xe máy airblade,OPERATIONAL,"874 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,1.0,"['car_repair', 'point_of_interest', 'establishment']"
858,ChIJHf6C4EgvdTER1vEKnW6nyXs,Kính xe hơi quận 10,OPERATIONAL,"hẻm 521 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['car_repair', 'point_of_interest', 'establishment']"
884,ChIJ30r42NMvdTERdotnUxp5HLA,Phuc Long Coffee & Tea,OPERATIONAL,"130 Đ. Cách Mạng Tháng 8, Phường 8, Quận 3, Thành phố Hồ Chí Minh, Vietnam",2.0,3.8,"['cafe', 'food', 'point_of_interest', 'establishment']"
896,ChIJxzXn6NcudTERIQ6TX2uAZgc,Hoa Hung Post Office,OPERATIONAL,"411 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,3.7,"['post_office', 'finance', 'point_of_interest', 'establishment']"
897,ChIJy2FGplsvdTERYKcuiAnypMI,Bưu Điện Việt Nam,OPERATIONAL,"697 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['post_office', 'finance', 'point_of_interest', 'establishment']"
903,ChIJ6Ux73mrZdDERRXdrq08fQq8,"Quay phim, Chụp hình phóng sự cưới uy tín ở TPHCM | Lavender Wedding",OPERATIONAL,"590/c2 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam",,5.0,"['point_of_interest', 'establishment']"
923,ChIJS0TENGrZdDERQkKJ0479468,Chụp hình ngoại cảnh đẹp ở TPHCM | Lavender Studio,OPERATIONAL,"588/ c2 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,4.7,"['point_of_interest', 'establishment']"
929,ChIJ75ZJaz4vdTER2mfP4F3qi2s,Công ty cổ phần địa ốc Olympic,OPERATIONAL,"493/88B Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['finance', 'point_of_interest', 'establishment']"
932,ChIJ0_GlqdcudTERmOnaKKMpbWc,Đại Lý Nệm Thanh Thúy,OPERATIONAL,"475 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
934,ChIJEQYwaTwvdTERHKH3X8pxaI8,Poly Rattan Furniture,OPERATIONAL,"35/21 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
935,ChIJUWTnVqUvdTER2vm8Ivh60og,Bàn Thờ Mekoong,OPERATIONAL,"1022 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
941,ChIJQz9K1zYvdTER1FISMQ3zRA0,Lắp Mạng Viettel Quận 3 - Internet Cáp Quang Viettel,OPERATIONAL,"644A Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.3,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
942,ChIJnfyPRssudTERHvh8_duneBM,Cửa Hàng Võng Xếp Trường Sơn,OPERATIONAL,"1052 Đ. Cách Mạng Tháng 8, Phường 4, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.7,"['furniture_store', 'home_goods_store', 'store', 'point_of_interest', 'establishment']"
948,ChIJ7WXfQnEvdTERBS3aHx4AlhU,Tranh Dán Tường 3D Sài Gòn,OPERATIONAL,"575/33b, Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh 70000, Vietnam",,4.5,"['home_goods_store', 'point_of_interest', 'store', 'establishment']"
953,ChIJo8BNl8wudTERQ_40oc1TNH8,Nha Khoa Nam Á,OPERATIONAL,"1016 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['dentist', 'point_of_interest', 'health', 'establishment']"
954,ChIJa2lnoNgudTERk2OIILOyjZ4,Nha Khoa Lam Anh,OPERATIONAL,"329 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh 740418, Vietnam",,4.0,"['point_of_interest', 'health', 'establishment']"
956,ChIJ___6LSYvdTERwb1802NZjuc,Nha Khoa Kim - Phòng Khám Nha Khoa Uy Tín Quận 10,OPERATIONAL,"285 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,4.4,"['point_of_interest', 'health', 'establishment']"
957,ChIJ-emIpc0udTERCOs4A225YNc,Blue Sky Dental - Nha khoa Thiên Thanh,OPERATIONAL,"763 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['point_of_interest', 'health', 'establishment']"
959,ChIJPb3AfkUvdTERE4wE3wSqeQY,Công ty TNHH Angel Yacht,OPERATIONAL,"429 Đ. Cách Mạng Tháng 8, P. Phú Thuận, TP, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['travel_agency', 'point_of_interest', 'establishment']"
960,ChIJf4JMguEvdTEREK3ROFmN8gE,Công ty cổ phần Quốc tế 247 VN,OPERATIONAL,"179 EF, Đ. Cách Mạng Tháng 8, Phường 05, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['travel_agency', 'point_of_interest', 'establishment']"
961,ChIJwWcjRNEudTEREErr1Q6F-qc,Đại Lý Bảo Ngọc,OPERATIONAL,"458 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['point_of_interest', 'store', 'establishment']"
962,ChIJPw_XdGAvdTERVfWE8oe1lso,"Đại lý Đạt Phú Ba lô cặp học sinh Va li, CMT8 Tân Bình TP HCM",OPERATIONAL,"688 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['point_of_interest', 'store', 'establishment']"
1002,ChIJ9eLfYrwvdTERW7DMcFcZ2kM,LB Eyewear - CMT8 - Mắt Kính Tân Bình,OPERATIONAL,"682 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.5,"['store', 'point_of_interest', 'establishment']"
1008,ChIJCYqIxQgvdTER3dCtKt6rZs0,Siêu Thị Quà Tặng Mekoong,OPERATIONAL,"439 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['store', 'point_of_interest', 'establishment']"
1020,ChIJvYOCKj4vdTERqojElz3XRhk,Gyomu Japan Supermarket,OPERATIONAL,"62A Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.3,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']"
1028,ChIJ868jzRovdTERWH9HePbCDSI,Sửa chữa macbook Tín Nhân,OPERATIONAL,"285/51 Đ. Cách Mạng Tháng 8, Phường 12, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['point_of_interest', 'establishment']"
1029,ChIJny5OPTMvdTERrXGl4XzXRhA,Trung Tâm Bảo Hành Ủy Quyền Apple - Topcare,OPERATIONAL,"759 Đ. Cách Mạng Tháng 8, Phường 6, Tân Bình, Thành phố Hồ Chí Minh 70000, Vietnam",,4.8,"['point_of_interest', 'establishment']"
1031,ChIJTWzfBtcudTERd7wKoc1B3x4,Sửa Máy Ảnh 24H,OPERATIONAL,"493/2b Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,3.9,"['electronics_store', 'store', 'point_of_interest', 'establishment']"
1033,ChIJU84KUDsvdTERjxu1FInmDjU,Trung Tâm Sửa Chữa Applesaigon1,OPERATIONAL,"50 Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['point_of_interest', 'establishment']"
1034,ChIJuaadDfAvdTERzg8WNKtLCcE,Alosuamaytinh- Sửa chữa laptop NHANH - UY TÍN - tại TP HCM,OPERATIONAL,"179 Đ. Cách Mạng Tháng 8, Phường 5, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['point_of_interest', 'establishment']"
1042,ChIJGThaU3svdTERRdCxXekSojs,Photocopy - In Ấn - Chụp Hình Thẻ Minh Phúc,OPERATIONAL,"381D Đ. Cách Mạng Tháng 8, P.13, Quận 10, Thành phố Hồ Chí Minh 740200, Vietnam",,5.0,"['point_of_interest', 'establishment']"
1043,ChIJhbhK7KIvdTERvqe2up0mkaA,Nhà Pi Pet Shop,OPERATIONAL,"416 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,5.0,"['pet_store', 'store', 'point_of_interest', 'establishment']"
1044,ChIJVzfzcNAvdTERXIAH5Kj3SEo,Pet Center,OPERATIONAL,"42 Đ. Cách Mạng Tháng 8, Phường 6, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.8,"['point_of_interest', 'establishment']"
1051,ChIJpTVXCOgvdTERuS853Hokc-w,Giặt Sấy Bà Già,OPERATIONAL,"590/E5, Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['laundry', 'point_of_interest', 'establishment']"
1054,ChIJNYWd2fkvdTEREawSrBSaP4Q,Tiệm Giặt Ủi KAVA. Vệ Sinh Giày,OPERATIONAL,"766/8 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['laundry', 'point_of_interest', 'establishment']"
1062,ChIJO1nartYudTERNh1qsjA2p8k,Giặt Sấy Công Cộng,OPERATIONAL,"436/57 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 700000, Vietnam",,1.0,"['laundry', 'point_of_interest', 'establishment']"
1075,ChIJ8T9FQtEudTERlEssrukThE4,Quán Ăn 257,OPERATIONAL,"601 Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
1084,ChIJ1YUb40cvdTERzEHKToPcQCQ,Bún Bò O Hương | Bún Bò Cách Mạng Tháng Tám | Bún Bò Quận 3,OPERATIONAL,"444/2/2 Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,4.8,"['restaurant', 'food', 'point_of_interest', 'establishment']"
1085,ChIJzQD1r9cudTERh5Jz4ut-hqk,Quán Mì Hòa Ký,OPERATIONAL,"521 Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,4.2,"['store', 'restaurant', 'food', 'point_of_interest', 'establishment']"
1087,ChIJ4RhaYbwvdTERWN0ohagrhwM,Bếp Nhà Tôi- Món Ngon Nam Bộ,OPERATIONAL,"322 Đ. Cách Mạng Tháng 8, Phường 15, Quận 11, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
1090,ChIJ6wyJk34vdTERKUBUGj1eIVE,Cơm Liễn,OPERATIONAL,"132C Đ. Cách Mạng Tháng 8, Phường 10, Quận 3, Thành phố Hồ Chí Minh, Vietnam",,3.2,"['restaurant', 'food', 'point_of_interest', 'establishment']"
1092,ChIJsxdfX08vdTERaRf4ONBF-GQ,Bao Pự | Bánh Bao Ngon Quận 10,OPERATIONAL,"350 Đ. Cách Mạng Tháng 8, Phường 10, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,5.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
1099,ChIJBcBn49cudTERj2RMj5evNbE,Quán Phở Trâm,OPERATIONAL,"389c Đ. Cách Mạng Tháng 8, Phường 13, Quận 10, Thành phố Hồ Chí Minh, Vietnam",,0.0,"['restaurant', 'food', 'point_of_interest', 'establishment']"
1100,ChIJ5yaipOMvdTER-hZ8kWPbshE,Anh Út - Mì Quảng Trộn - Mì Quảng Ngon,OPERATIONAL,"609/20B Đ. Cách Mạng Tháng 8, Phường 15, Quận 10, Thành phố Hồ Chí Minh 700000, Vietnam",,4.8,"['restaurant', 'meal_takeaway', 'meal_delivery', 'food', 'point_of_interest', 'establishment']"
1109,ChIJo6-NOfIpdTERG9zChKA9w3s,Quán cà phê,OPERATIONAL,"1192 Đ. Cách Mạng Tháng 8, Phường 7, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.0,"['cafe', 'food', 'point_of_interest', 'store', 'establishment']"
1110,ChIJtfBFAUYvdTER5SjmyhC2BIc,Thép Cà Phê,OPERATIONAL,"590|13, Đ. Cách Mạng Tháng 8, Phường 11, Quận 3, Thành phố Hồ Chí Minh 70000, Vietnam",,3.7,"['cafe', 'food', 'point_of_interest', 'establishment']"
1111,ChIJE_BzRaovdTEReCIulleKMQ8,E-Coffee Trung Nguyên,OPERATIONAL,"766/9 Đ. Cách Mạng Tháng 8, Phường 5, Tân Bình, Thành phố Hồ Chí Minh, Vietnam",,4.5,"['cafe', 'food', 'point_of_interest', 'establishment']"
